B,C,H,K,N,O,A_labelfreq_enc,D_labelfreq_enc,E_labelfreq_enc,F_labelfreq_enc,G_labelfreq_enc,I_labelfreq_enc,J_labelfreq_enc,L_labelfreq_enc,M_labelfreq_enc,A_ohe_0,A_ohe_1,D_ohe_0,D_ohe_1,D_ohe_2,E_ohe_0,E_ohe_1,E_ohe_2,F_ohe_0,F_ohe_1,F_ohe_2,F_ohe_3,F_ohe_4,F_ohe_5,F_ohe_6,F_ohe_7,F_ohe_8,F_ohe_9,F_ohe_10,F_ohe_11,F_ohe_12,F_ohe_13,G_ohe_0,G_ohe_1,G_ohe_2,G_ohe_3,G_ohe_4,G_ohe_5,G_ohe_6,G_ohe_7,G_ohe_8,I_ohe_0,I_ohe_1,J_ohe_0,J_ohe_1,L_ohe_0,L_ohe_1,M_ohe_0,M_ohe_1,M_ohe_2,A_label,D_label,E_label,F_label,G_label,I_label,J_label,L_label,M_label,P,P_mean_A_label,P_mean_D_label,P_mean_E_label,P_mean_F_label,P_mean_G_label,P_mean_I_label,P_mean_J_label,P_mean_L_label,P_mean_M_label
37.17,4.0,5.0,0,280.0,0,0.6920289855072463,0.7626811594202898,0.7626811594202898,0.2210144927536232,0.08514492753623189,0.5181159420289855,0.5778985507246377,0.4601449275362319,0.08695652173913043,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1,1,0,1,0,1,0,1,2,1,0.5714285714285714,0.5102040816326531,0.5102040816326531,0.5757575757575758,0.55,0.19730941704035873,0.7569721115537849,0.5502392344497608,0.7222222222222222
40.0,6.5,3.5,1,0.0,500,0.6920289855072463,0.7626811594202898,0.7626811594202898,0.07608695652173914,0.08514492753623189,0.5181159420289855,0.4221014492753623,0.5398550724637681,0.9003623188405797,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1,1,0,0,0,1,1,0,0,0,0.5714285714285714,0.5102040816326531,0.5102040816326531,0.6578947368421053,0.55,0.19730941704035873,0.28421052631578947,0.5560344827586207,0.54
34.17,1.54,1.54,1,520.0,50000,0.6920289855072463,0.7626811594202898,0.7626811594202898,0.05253623188405797,0.5905797101449275,0.5181159420289855,0.4221014492753623,0.4601449275362319,0.9003623188405797,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1,1,0,2,7,1,1,1,0,0,0.5714285714285714,0.5102040816326531,0.5102040816326531,0.2727272727272727,0.5714285714285714,0.19730941704035873,0.28421052631578947,0.5502392344497608,0.54
58.58,2.71,2.415,0,320.0,0,0.6920289855072463,0.7626811594202898,0.7626811594202898,0.2210144927536232,0.5905797101449275,0.48188405797101447,0.5778985507246377,0.4601449275362319,0.9003623188405797,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1,1,0,1,7,0,0,1,0,1,0.5714285714285714,0.5102040816326531,0.5102040816326531,0.5757575757575758,0.5714285714285714,0.9174311926605505,0.7569721115537849,0.5502392344497608,0.54
32.33,3.5,0.5,0,232.0,0,0.6920289855072463,0.7626811594202898,0.7626811594202898,0.07246376811594203,0.5905797101449275,0.48188405797101447,0.5778985507246377,0.4601449275362319,0.9003623188405797,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1,1,0,8,7,0,0,1,0,1,0.5714285714285714,0.5102040816326531,0.5102040816326531,0.75,0.5714285714285714,0.9174311926605505,0.7569721115537849,0.5502392344497608,0.54
64.08,20.0,17.5,9,0.0,1000,0.6920289855072463,0.7626811594202898,0.7626811594202898,0.05615942028985507,0.20471014492753623,0.5181159420289855,0.4221014492753623,0.4601449275362319,0.9003623188405797,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1,1,0,13,3,1,1,1,0,0,0.5714285714285714,0.5102040816326531,0.5102040816326531,0.18518518518518517,0.41935483870967744,0.19730941704035873,0.28421052631578947,0.5502392344497608,0.54
53.92,9.625,8.665,5,0.0,0,0.6920289855072463,0.7626811594202898,0.7626811594202898,0.03260869565217391,0.5905797101449275,0.5181159420289855,0.4221014492753623,0.5398550724637681,0.9003623188405797,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1,1,0,4,7,1,1,0,0,0,0.5714285714285714,0.5102040816326531,0.5102040816326531,0.3076923076923077,0.5714285714285714,0.19730941704035873,0.28421052631578947,0.5560344827586207,0.54
17.5,22.0,0.0,0,450.0,100000,0.6920289855072463,0.0036231884057971015,0.0036231884057971015,0.07789855072463768,0.0036231884057971015,0.48188405797101447,0.5778985507246377,0.4601449275362319,0.012681159420289856,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1,0,1,5,6,0,0,1,1,0,0.5714285714285714,0.0,0.0,0.9,1.0,0.9174311926605505,0.7569721115537849,0.5502392344497608,0.4
17.92,0.54,1.75,1,80.0,5,0.3079710144927536,0.7626811594202898,0.7626811594202898,0.2210144927536232,0.5905797101449275,0.48188405797101447,0.4221014492753623,0.4601449275362319,0.9003623188405797,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0,1,0,1,7,0,1,1,0,1,0.5142857142857142,0.5102040816326531,0.5102040816326531,0.5757575757575758,0.5714285714285714,0.9174311926605505,0.28421052631578947,0.5502392344497608,0.54
40.58,5.0,5.0,7,0.0,3065,0.6920289855072463,0.7626811594202898,0.7626811594202898,0.2210144927536232,0.5905797101449275,0.5181159420289855,0.4221014492753623,0.5398550724637681,0.9003623188405797,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1,1,0,1,7,1,1,0,0,0,0.5714285714285714,0.5102040816326531,0.5102040816326531,0.5757575757575758,0.5714285714285714,0.19730941704035873,0.28421052631578947,0.5560344827586207,0.54
34.83,1.25,0.5,0,160.0,0,0.3079710144927536,0.23369565217391305,0.23369565217391305,0.08514492753623189,0.20471014492753623,0.48188405797101447,0.5778985507246377,0.4601449275362319,0.9003623188405797,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0,2,2,6,3,0,0,1,0,1,0.5142857142857142,0.711340206185567,0.711340206185567,0.7560975609756098,0.41935483870967744,0.9174311926605505,0.7569721115537849,0.5502392344497608,0.54
48.75,8.5,12.5,9,181.0,1655,0.6920289855072463,0.7626811594202898,0.7626811594202898,0.2210144927536232,0.20471014492753623,0.5181159420289855,0.4221014492753623,0.5398550724637681,0.9003623188405797,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1,1,0,1,3,1,1,0,0,0,0.5714285714285714,0.5102040816326531,0.5102040816326531,0.5757575757575758,0.41935483870967744,0.19730941704035873,0.28421052631578947,0.5560344827586207,0.54
44.25,0.5,10.75,0,400.0,0,0.6920289855072463,0.7626811594202898,0.7626811594202898,0.05615942028985507,0.5905797101449275,0.5181159420289855,0.5778985507246377,0.5398550724637681,0.08695652173913043,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1,1,0,9,7,1,0,0,2,1,0.5714285714285714,0.5102040816326531,0.5102040816326531,0.47368421052631576,0.5714285714285714,0.19730941704035873,0.7569721115537849,0.5560344827586207,0.7222222222222222
39.92,5.0,0.21,0,550.0,0,0.6920289855072463,0.7626811594202898,0.7626811594202898,0.08514492753623189,0.08514492753623189,0.48188405797101447,0.5778985507246377,0.5398550724637681,0.9003623188405797,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1,1,0,6,0,0,0,0,0,1,0.5714285714285714,0.5102040816326531,0.5102040816326531,0.7560975609756098,0.55,0.9174311926605505,0.7569721115537849,0.5560344827586207,0.54
33.17,3.04,2.04,1,180.0,18027,0.6920289855072463,0.23369565217391305,0.23369565217391305,0.2210144927536232,0.20471014492753623,0.5181159420289855,0.4221014492753623,0.4601449275362319,0.9003623188405797,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1,2,2,1,3,1,1,1,0,0,0.5714285714285714,0.711340206185567,0.711340206185567,0.5757575757575758,0.41935483870967744,0.19730941704035873,0.28421052631578947,0.5502392344497608,0.54
23.5,2.75,4.5,0,160.0,25,0.6920289855072463,0.7626811594202898,0.7626811594202898,0.07789855072463768,0.08333333333333333,0.48188405797101447,0.5778985507246377,0.5398550724637681,0.9003623188405797,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1,1,0,5,2,0,0,0,0,1,0.5714285714285714,0.5102040816326531,0.5102040816326531,0.9,0.8484848484848485,0.9174311926605505,0.7569721115537849,0.5560344827586207,0.54
